# corpus-provenance.tsv - SNAPSHOT taken 2026-07-29. NOT auto-generated; do NOT overwrite
# it with build_corpus_manifest.py output.
#
# WHY: build_corpus_manifest.py NULLS steam_buildid/size/sha256 on any row whose on-disk
# bytes stopped being the corpus bytes (by design - it must not assert the wrong build).
# So the pointer to the build a .rep was made from is lost the first time the game
# patches. Palworld drifted on 2026-07-29. This file preserves it. Re-snapshot BEFORE a
# game updates, not after.
#
# reproduce_via, strongest first:
#   STEAM-BACKUP-MANIFEST  a sku.sis backup holds the EXACT depot manifest ids. Recover
#                          with: steamcmd +download_depot <app> <depot> <manifest>.
#                          Survives uninstall AND delisting. Best possible case.
#   STEAMDB-BUILDID        exact: SteamDB app -> Builds -> this buildid -> depot manifest.
#   STEAMDB-MANIFEST       manifest id resolved by hand off SteamDB's depot history and
#                          cross-checked against an independent record in the repo. The
#                          reasoning is kept in date_meaning - do not drop it, it is the
#                          only thing that makes the id auditable.
#   STEAMDB-BY-MTIME       appid known, no buildid/backup: narrow by file_modified on
#                          SteamDB, then confirm with md5_at_import.
#   STEAMLOG-MANIFEST      no appid of its own, BUT Steam's console_log.txt logged a depot
#                          download whose window contains the file's mtime. That names the
#                          app, depot and exact manifest. A STRONG CANDIDATE, not a proof -
#                          download it and confirm against md5_at_import. This is what
#                          rescues the <ARCHIVE> rows, which have no identity
#                          of their own. The Steam log ROTATES: snapshot it early.
#   REBUILD                self-built - recompile from the installed engine.
#   NONE-HASH-ONLY         archive copies re-saved locally; they came from an old manifest
#                          and map back to none. md5/sha256 is all there is.
#
# USE file_modified, NOT file_created. A copy RESETS ctime but PRESERVES mtime, so for an
# install -> copy -> uninstall workflow the mtime is still the original Steam write time.
# Measured here: Hogwarts ctime 2026-07-29 / mtime 2025-12-04; Octopath mtime 2025-05-12;
# Palworld mtime 2026-07-15 = the pre-patch corpus build. An earlier pass of this file
# read ctime and wrongly concluded the dates were destroyed by the corpus move.
#
# md5_at_import is Ghidra's own import-time record. It is the ONLY identity that survives
# the file being deleted or replaced, so it is the final arbiter in every case.
tag	source	reproduce_via	steam_app_id	steam_buildid	depot_manifests	steamlog_candidate	manifest_size	sha256	md5_at_import	file_created	file_modified	file_size_now	date_meaning	path_snapshotted	sku_sis
UE4.11-Nekopara	steam	STEAMDB-BUILDID	469990	1144479	-	-	39234560	d9a6a83666bf8740af5e564e98114bcc4297aaa40ec40f4181e44958cd5da1b5	cfdcb9522f1d6b7cd80deb6dde31f279	2026-07-27 20:04	2026-07-27 20:04	39234560	exact buildid on hand; date is corroboration	<STEAMLIB>\steamapps\common\NEKOPALIVE\Package\Nekopara\Binaries\Win64\Nekopara.exe	-
UE4.13-Fantasynth	steam	STEAMDB-BUILDID	624460	1756923	-	-	42256896	5380708aaf59992814912122afc3f71d6b18bd41062cde1a5e04fcec4e9f191b	632c5330a066c96477b53809a82d6fb6	2026-07-27 20:00	2026-07-27 20:00	42256896	exact buildid on hand; date is corroboration	<STEAMLIB>\steamapps\common\Fantasynth\Fantasynth\Binaries\Win64\Fantasynth-Win64-Shipping.exe	-
UE4.15-Flying	self-built	REBUILD	-	-	-	-	47878144	97489755b1f98c52ebc53d513b7d25c474eda807116df180f531584ab805aaa5	2f94653fdbe932fba33e687eff58d516	2026-07-28 19:26	2026-07-28 19:26	47878144	build time	<CORPUS>\Varies Version builds\4.15.3\Shipping\WindowsNoEditor\UE415_Flyinh\Binaries\Win64\UE415_Flyinh-Win64-Shipping.exe	-
UE4.18-DQXIS	steam	STEAMDB-BUILDID	1295510	6291077	-	-	101538992	6c643291841429d1a507dc3ec256dcbb229c800310036641ed51dcab65e2f061	c19da2f7270cc82d790e2a084f2152bf	2025-05-12 21:39	2025-05-12 21:39	101538992	exact buildid on hand; date is corroboration	<STEAMLIB>\steamapps\common\DRAGON QUEST XI S\Game\Binaries\Win64\DRAGON QUEST XI S.exe	-
UE4.18-FF7R	steam	STEAM-BACKUP-MANIFEST	1462040	-	1462041:7717118768461421712; 1462042:4652159271987585380	-	-	-	3ea9092f78c168a8a2e165f28c72bb93	2026-07-29 08:12	2026-07-29 07:57	96927560	exact depot manifest on hand; date irrelevant	<CORPUS>\Game Binary backup\FINAL FANTASY VII REMAKE\ff7remake_.exe	<STEAMLIB> backup\FINAL FANTASY VII REMAKE INTERGRADE\FINAL FANTASY VII REMAKE INTERGRADE\sku.sis
UE4.18-Octopath	steam	STEAMDB-BUILDID	921570	5272616	-	-	45439984	41852d88b8f56b575b95edfa4d7049330b496bdccd079a75d9d4afc556e79fc9	d3d3c619c91aa2a357a4392c5d87c446	2026-07-29 00:28	2025-05-12 21:43	45439984	exact buildid on hand; date is corroboration	<CORPUS>\Game Binary backup\OCTOPATH TRAVELER\Octopath_Traveler-Win64-Shipping.exe	-
UE4.20-Everspace	steam	STEAMDB-BUILDID	396750	4246486	-	1128920:1128921:1228092871900976040	53942272	7b2479e78db93781a0c7eb84180e4cb82fc079f57d7dac148b7c8b6f33ff154c	d6e8511c9a6c18bae3377f6584ea5e74	2026-07-25 21:32	2026-07-25 21:32	53942272	exact buildid on hand; date is corroboration	<STEAMLIB>\steamapps\common\EVERSPACE\RSG\Binaries\Win64\RSG-Win64-Shipping.exe	-
UE4.20-HeliumRain	steam	STEAMDB-BUILDID	681330	3612001	-	-	54427136	4ca37f52dfbf435809bd8639f04c171a18652548a809df3e81990bfdb4a60fb5	4dd8b021b63fc97f9bd513321a5354cf	2026-07-27 17:30	2026-07-27 17:30	54427136	exact buildid on hand; date is corroboration	<STEAMLIB>\steamapps\common\HeliumRain\HeliumRain\Binaries\Win64\HeliumRain-Win64-Shipping.exe	-
UE4.21-FreudGate	steam	STEAMDB-BUILDID	1161270	4340202	-	-	51426816	5a1304fd5c6de45004dd1b84e38e5aceeaf08d3187640bfa4b9956fbd335cf95	edb68a5521a225845ec889468b5efcfd	2026-07-27 17:36	2026-07-27 17:36	51426816	exact buildid on hand; date is corroboration	<STEAMLIB>\steamapps\common\Freud Gate\FreudGate\Binaries\Win64\FreudGate-Win64-Shipping.exe	-
UE4.22-Satisfactory	archive	STEAMLOG-MANIFEST	-	-	-	526870:526871:5235170890177666837 (+5 alt: 4713640358549407449,3007809920758804289)	69546496	c7377816a6472120ac67920b2b3bbf1356c814cd6dbcf15076cf9219e629e1d4	a1df9f191f8978e6c05d7919237be565	2026-07-25 23:13	2026-07-25 23:13	69546496	mtime falls inside a logged depot download - manifest is a strong CANDIDATE	<ARCHIVE>\Satisfactory\UE4.2.2\FactoryGame\Binaries\Win64\FactoryGame-Win64-Shipping.exe	-
